,embed_1,embed_2,url
79,10.863782,1.058872,https://www.wildberries.ru/catalog/13394908/detail.aspx
80,13.696028,-4.7096853,https://www.wildberries.ru/catalog/170506945/detail.aspx
81,13.108128,-8.002517,https://www.wildberries.ru/catalog/169271285/detail.aspx
82,15.704058,8.198931,https://www.wildberries.ru/catalog/8666502/detail.aspx
83,1.5682644,-1.452132,https://www.wildberries.ru/catalog/90445307/detail.aspx
84,17.653553,9.534226,https://www.wildberries.ru/catalog/84627580/detail.aspx
85,0.6026674,6.109493,https://www.wildberries.ru/catalog/111944366/detail.aspx
86,13.357191,-8.753822,https://www.wildberries.ru/catalog/165022838/detail.aspx
87,3.6159954,18.066822,https://www.wildberries.ru/catalog/147027413/detail.aspx
88,12.875068,-4.9848843,https://www.wildberries.ru/catalog/162193837/detail.aspx
89,11.967692,13.70002,https://www.wildberries.ru/catalog/21401242/detail.aspx
90,12.7683,7.076612,https://www.wildberries.ru/catalog/76056547/detail.aspx
91,5.6182265,-8.513468,https://www.wildberries.ru/catalog/171428458/detail.aspx
92,11.330958,10.372415,https://www.wildberries.ru/catalog/20944495/detail.aspx
93,4.8125186,-2.941847,https://www.wildberries.ru/catalog/134625999/detail.aspx
94,1.5519227,7.0587687,https://www.wildberries.ru/catalog/36025881/detail.aspx
95,15.445697,7.8291845,https://www.wildberries.ru/catalog/165232844/detail.aspx
96,4.557865,-3.5666451,https://www.wildberries.ru/catalog/137812732/detail.aspx
97,10.766927,1.0316155,https://www.wildberries.ru/catalog/169857603/detail.aspx
98,3.7050657,17.574211,https://www.wildberries.ru/catalog/165645657/detail.aspx
99,14.918086,7.3424573,https://www.wildberries.ru/catalog/148521003/detail.aspx
100,24.567179,-2.7904031,https://www.wildberries.ru/catalog/171017789/detail.aspx
101,12.04796,-9.443552,https://www.wildberries.ru/catalog/14154041/detail.aspx
102,0.8343878,5.66832,https://www.wildberries.ru/catalog/34014415/detail.aspx
103,3.778227,-8.908497,https://www.wildberries.ru/catalog/148505461/detail.aspx
104,13.939358,8.046115,https://www.wildberries.ru/catalog/142551756/detail.aspx
105,5.7846465,-10.992803,https://www.wildberries.ru/catalog/76680207/detail.aspx
106,-8.222529,-0.29735872,https://www.wildberries.ru/catalog/143374925/detail.aspx
107,1.9938625,18.42322,https://www.wildberries.ru/catalog/16875812/detail.aspx
108,5.3733745,-9.824904,https://www.wildberries.ru/catalog/140974842/detail.aspx
109,5.791293,-8.646692,https://www.wildberries.ru/catalog/147762171/detail.aspx
110,13.349432,-8.749822,https://www.wildberries.ru/catalog/171784959/detail.aspx
111,11.520951,-8.2438755,https://www.wildberries.ru/catalog/34143181/detail.aspx
112,12.676918,7.1779623,https://www.wildberries.ru/catalog/10851013/detail.aspx
113,9.704007,0.75765294,https://www.wildberries.ru/catalog/163251431/detail.aspx
114,2.8958166,17.94549,https://www.wildberries.ru/catalog/154471994/detail.aspx
115,12.557742,9.3713255,https://www.wildberries.ru/catalog/78840426/detail.aspx
116,11.3462305,1.1252269,https://www.wildberries.ru/catalog/160834770/detail.aspx
117,13.174579,-8.259999,https://www.wildberries.ru/catalog/171015288/detail.aspx
118,12.687912,7.1379695,https://www.wildberries.ru/catalog/45127855/detail.aspx
119,11.475584,-8.156387,https://www.wildberries.ru/catalog/16650607/detail.aspx
120,4.6048427,-3.0638945,https://www.wildberries.ru/catalog/168277801/detail.aspx
121,10.7318535,0.9224452,https://www.wildberries.ru/catalog/10482877/detail.aspx
122,0.12558995,5.1735754,https://www.wildberries.ru/catalog/87161854/detail.aspx
